selection_strategy,fixed_k,metric,metric_label,pair_count,mean_radius_minus_fixed,median_radius_minus_fixed,bootstrap_ci_low,bootstrap_ci_high,radius_lower_count,wilcoxon_p,wilcoxon_p_holm
validation_rmse,6,test_rmse_scaled,Test RMSE,30,-0.013550705885817709,-0.005029702604056108,-0.021027020542718277,-0.006944798234540355,20,0.0002957669139447821,0.0014788345697239105
validation_rmse,6,consequent_dimension,Dimension,30,-20.3,-10.5,-31.8675,-10.133333333333333,21,0.0006580155207041255,0.002632062082816502
validation_rmse,6,localized_gaussian_kl,Gaussian KL,30,-4.380841740252178,-1.652355406017663,-11.426134985572919,0.9790204119745196,18,0.05108666110389699,0.15325998331169097
validation_rmse,6,localized_certificate_familywise,Certificate,30,-0.01118402804503881,-0.010272056802919094,-0.025025016576635684,0.0022146849166949714,18,0.04715590651322357,0.14146771953967072
validation_rmse,8,validation_rmse_scaled,Validation RMSE,30,-0.017047729542427448,-0.009165342590662873,-0.025934756585453814,-0.008912601339534705,25,1.8244609236717224e-05,6.852815485343146e-05
validation_rmse,8,test_rmse_scaled,Test RMSE,30,-0.013667888047991714,-0.007244110958976924,-0.024213521150438122,-0.003625990434922633,21,0.0050126127898693085,0.020050451159477234
validation_rmse,8,consequent_dimension,Dimension,30,-43.233333333333334,-28.0,-58.233333333333334,-30.0,29,2.205747836096513e-06,1.3234487016579077e-05
validation_rmse,8,localized_gaussian_kl,Gaussian KL,30,-9.78339807545773,-9.649098936933047,-15.72594817636685,-3.585892118505668,27,2.6885420083999634e-05,0.00013442710041999817
validation_rmse,8,localized_certificate_familywise,Certificate,30,-0.02857936655223523,-0.025130060256970906,-0.04095306600084927,-0.016004227225974863,27,0.00011058151721954346,0.0005529075860977173
validation_rmse,12,validation_rmse_scaled,Validation RMSE,30,-0.025541741641214907,-0.015427542093409796,-0.03631015860351385,-0.01579843934559114,28,2.60770320892334e-08,1.564621925354004e-07
validation_rmse,12,test_rmse_scaled,Test RMSE,30,-0.0334691854674091,-0.013228500023198975,-0.06045146133347071,-0.01291911226165046,24,0.00012333691120147705,0.0007400214672088623
validation_rmse,12,consequent_dimension,Dimension,30,-95.9,-81.0,-121.23333333333333,-71.93250000000008,29,2.5458715561150074e-06,1.3234487016579077e-05
validation_rmse,12,localized_gaussian_kl,Gaussian KL,30,-22.916757620891918,-9.336354105330155,-40.14075960852006,-10.431646589213946,27,1.218356192111969e-05,7.310137152671814e-05
validation_rmse,12,localized_certificate_familywise,Certificate,30,-0.06313637213877712,-0.05875166206584191,-0.08403357757470932,-0.04620452004776496,28,1.0244548320770264e-07,6.146728992462158e-07
certificate,2,validation_rmse_scaled,Validation RMSE,30,-0.008834445881905928,0.00025127962762553496,-0.02372881939107954,0.003061001120650275,14,0.8552717231214046,1.0
certificate,2,test_rmse_scaled,Test RMSE,30,-0.0076891983988445324,-0.0026523060441962856,-0.020890473990290873,0.0029933670285401406,17,0.4399667661637068,1.0
certificate,2,consequent_dimension,Dimension,30,-4.133333333333334,-4.0,-5.533333333333333,-2.8333333333333335,27,6.646339485748939e-07,2.499372827966625e-06
certificate,2,localized_gaussian_kl,Gaussian KL,30,-1.2444410735121862,-0.8434996188052108,-1.8094888314505742,-0.7570696995302808,27,1.6838312149047852e-06,3.3676624298095703e-06
certificate,2,localized_certificate_familywise,Certificate,30,-0.0016880918027834984,-0.0013946278172483548,-0.002861073688114095,-0.0005459000439366681,20,0.013663241639733315,0.013663241639733315
certificate,3,validation_rmse_scaled,Validation RMSE,30,-0.01230418723460344,-0.0028946068486645493,-0.029544900099508893,0.0021434389878871177,17,0.6701805889606476,1.0
certificate,3,test_rmse_scaled,Test RMSE,30,-0.008498785903103828,-0.003468509299086431,-0.02418018432540341,0.005665599283055166,20,0.23665234446525574,1.0
