process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
ar2,dense_tsk,15,3.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,dense_tsk,15,4.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,dense_tsk,15,5.0,25,1.0,16.0,0.8544919247932796,2.6740886296332125,12.67264219154149,0.12533118149514066
ar2,dense_tsk,20,1.5,25,4.8,100.8,0.8975522794416874,44.3588538058423,56.991366653878366,0.22482159772172008
ar2,dense_tsk,20,1.75,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,dense_tsk,20,2.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,dense_tsk,20,2.5,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,dense_tsk,20,3.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,dense_tsk,20,4.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,dense_tsk,20,5.0,25,1.0,21.0,0.8575197989655889,3.868593560799283,13.86714712270756,0.12964520327383497
ar2,fixed_k_dense_tsk,3,,150,5.833333333333333,23.333333333333332,0.8571445719941001,13.485509014124913,24.436378675941224,0.14863575861688413
ar2,fixed_k_dense_tsk,5,,150,5.833333333333333,35.0,0.8623714403342086,12.493273905318896,23.444143567135203,0.1597268701865772
ar2,fixed_k_dense_tsk,10,,150,5.833333333333333,64.16666666666667,0.8813303606212971,20.430298453752158,31.381168115568464,0.1819048658912051
ar2,fixed_k_dense_tsk,15,,150,5.833333333333333,93.33333333333333,0.9772981991301989,44.36760158500127,55.31847124681757,0.21319705634774777
ar2,fixed_k_dense_tsk,20,,150,5.833333333333333,122.5,0.9338657030240246,67.65684483180753,78.60771449362385,0.2500395579978155
