example,rule,lag,antecedent_center_original,antecedent_spread_original,consequent_coefficient_original,local_intercept_original,prior_support,mean_firing
Tetouan Zone 1,4,1,22599.45032366512,1233.9093034700786,0.8878983105133488,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,2,23674.139096554783,2028.2365939973045,-0.22419271843515792,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,3,27919.09884662037,5400.387541543639,0.11381427026940533,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,4,34373.663948009256,6517.380753805456,-0.2993000099880391,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,5,39693.42918962963,3505.0644182728724,0.1985351995392426,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,6,39111.296225246915,4399.190245547969,0.014884166953258724,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,7,36272.08662358411,4515.635606955866,0.1542660424177847,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,8,33637.75480423225,1897.8396688703322,-0.058719003034753615,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,9,33224.985650462964,2021.401229394938,-0.04202568386818478,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,10,30840.6066965625,3937.525344449809,-0.2275047910637316,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,11,27070.489439020057,4268.214299967043,0.0864830872773335,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,12,23807.573591222997,2349.964311529274,0.4591319266435842,166.77074886733317,216,0.24915814408656298
