timestamp,aep,comed,dayton,pjme
2013-12-12,18744.9583333333,13772.4583333333,2518.3333333333,37595.5000000000
2013-12-13,17960.9583333333,12809.5000000000,2344.3750000000,36793.7500000000
2013-12-14,16473.2500000000,11789.5000000000,2102.1250000000,34642.2083333333
2013-12-15,16360.4583333333,11749.6250000000,2088.3333333333,32569.7083333333
2013-12-16,17958.1666666667,13166.8750000000,2382.2083333333,36383.5833333333
2013-12-17,17564.7500000000,12983.2500000000,2338.4166666667,37314.5833333333
2013-12-18,17567.1250000000,12758.7083333333,2308.7083333333,36534.0000000000
2013-12-19,16682.8750000000,12239.1250000000,2165.5416666667,35301.2916666667
2013-12-20,15273.1250000000,12090.3333333333,1981.0000000000,32100.6666666667
2013-12-21,13422.6250000000,11312.0416666667,1692.4583333333,28051.5416666667
2013-12-22,12742.1250000000,10949.1666666667,1623.8750000000,26731.7916666667
2013-12-23,14843.2500000000,12444.6666666667,2000.1250000000,28953.3750000000
2013-12-24,15919.1666666667,12418.5833333333,2107.7083333333,31180.2500000000
2013-12-25,15659.8333333333,11109.3333333333,1985.3333333333,32273.8750000000
2013-12-26,15765.9583333333,11996.2916666667,1995.6666666667,34391.1250000000
2013-12-27,15827.0833333333,11520.6250000000,1933.9166666667,33680.4583333333
2013-12-28,14854.8750000000,10474.2500000000,1758.5416666667,30354.7916666667
2013-12-29,14008.7500000000,10703.0000000000,1746.5833333333,29513.2500000000
2013-12-30,16075.6666666667,12651.7083333333,2079.7500000000,32409.9166666667
2013-12-31,16545.4583333333,12438.2500000000,2094.5416666667,34071.4583333333
2014-01-01,15512.5833333333,11413.5833333333,1908.7083333333,32360.9166666667
2014-01-02,17735.7500000000,12644.0833333333,2311.2083333333,35778.2916666667
2014-01-03,19793.4166666667,13389.2916666667,2531.3333333333,39304.9583333333
2014-01-04,18067.2500000000,12233.1250000000,2228.5000000000,37982.6666666667
2014-01-05,15829.4166666667,11984.0833333333,1968.0833333333,34595.1666666667
2014-01-06,19177.8750000000,14272.5416666667,2717.2916666667,34472.0833333333
2014-01-07,22319.1666666667,14585.3750000000,2849.5000000000,44652.7916666667
2014-01-08,20144.2916666667,13975.0000000000,2578.2916666667,42378.4583333333
2014-01-09,18147.8333333333,13696.3333333333,2396.5000000000,37716.1666666667
2014-01-10,16778.5000000000,12615.7500000000,2181.8333333333,36236.7083333333
2014-01-11,14810.1250000000,11304.9583333333,1896.7916666667,30599.5833333333
2014-01-12,14820.9166666667,10763.8750000000,1899.2916666667,29406.1250000000
2014-01-13,16491.2083333333,11576.2916666667,2106.8750000000,32765.6250000000
2014-01-14,15778.0833333333,12322.3750000000,2091.5000000000,31727.9166666667
2014-01-15,17148.6250000000,12728.2083333333,2312.7916666667,32652.6666666667
2014-01-16,18198.5000000000,12780.6666666667,2428.6250000000,33763.8750000000
2014-01-17,17529.3333333333,13010.4583333333,2351.5833333333,33797.0416666667
2014-01-18,18043.7083333333,12320.7083333333,2300.8750000000,32711.2916666667
2014-01-19,16320.4583333333,11472.4583333333,2059.7916666667,33029.5416666667
2014-01-20,16927.9166666667,12013.8333333333,2215.0000000000,33340.8333333333
2014-01-21,18894.4166666667,13336.2083333333,2511.7916666667,37657.5000000000
2014-01-22,21131.4166666667,13800.2083333333,2771.1666666667,42421.9166666667
2014-01-23,21096.8333333333,14119.9583333333,2768.7500000000,41944.4583333333
2014-01-24,22002.4166666667,14113.6250000000,2793.3750000000,41979.2916666667
2014-01-25,19366.3333333333,12228.2916666667,2416.5833333333,38661.9166666667
2014-01-26,18199.5833333333,11963.6250000000,2305.3333333333,36790.7916666667
2014-01-27,18987.5000000000,13977.7500000000,2608.2500000000,37035.8333333333
2014-01-28,21910.8750000000,14389.7916666667,2880.2916666667,41845.4166666667
2014-01-29,21872.1250000000,13831.3333333333,2745.4166666667,41947.7500000000
2014-01-30,20987.2500000000,13275.7916666667,2556.0833333333,40929.7083333333
2014-01-31,17905.2083333333,12648.7916666667,2271.8750000000,36857.8750000000
2014-02-01,15735.8750000000,11672.0833333333,1964.2500000000,31971.4583333333
2014-02-02,15089.8750000000,11253.8333333333,1969.5000000000,30103.7916666667
2014-02-03,17398.8750000000,12879.4166666667,2295.7500000000,34195.3750000000
2014-02-04,18281.2500000000,13074.2500000000,2442.7500000000,36224.0416666667
2014-02-05,17793.7500000000,12876.1250000000,2375.2916666667,34940.1250000000
2014-02-06,18726.5000000000,13451.6250000000,2441.9166666667,35807.2500000000
2014-02-07,19055.0000000000,13624.4583333333,2616.8333333333,35555.3750000000
2014-02-08,17954.5000000000,12460.4166666667,2348.3333333333,34812.4583333333
2014-02-09,16710.3750000000,11619.8333333333,2142.3750000000,34994.4166666667
2014-02-10,18828.6666666667,13251.2500000000,2539.0000000000,37525.2500000000
2014-02-11,19700.2083333333,13468.3750000000,2668.2916666667,38984.3333333333
2014-02-12,19988.4583333333,13286.1250000000,2602.3333333333,39993.0833333333
2014-02-13,18566.3750000000,12689.0000000000,2395.4583333333,36864.8750000000
2014-02-14,17469.3750000000,12609.8333333333,2313.3750000000,34119.5000000000
2014-02-15,16990.8750000000,11842.3750000000,2144.2500000000,33535.7916666667
2014-02-16,17035.6666666667,11097.9583333333,2084.4583333333,34122.2083333333
2014-02-17,18409.0416666667,12468.4166666667,2424.8750000000,36506.3333333333
2014-02-18,16595.9583333333,11942.3750000000,2172.1250000000,35292.1666666667
2014-02-19,15498.9166666667,11498.0000000000,2035.1250000000,34043.7500000000
2014-02-20,15932.6666666667,11847.6250000000,2074.7083333333,32515.2083333333
2014-02-21,15205.0416666667,12005.7500000000,2025.6666666667,31996.9166666667
2014-02-22,14557.2500000000,11130.5000000000,1816.5833333333,29356.7916666667
2014-02-23,14362.2916666667,10867.7916666667,1848.2500000000,28004.3750000000
2014-02-24,16928.6666666667,12471.0833333333,2289.7916666667,32595.8333333333
2014-02-25,17901.3750000000,12705.5833333333,2362.3333333333,36032.3333333333
2014-02-26,18469.0833333333,13501.2083333333,2470.1666666667,36730.1666666667
2014-02-27,19156.4583333333,13389.2083333333,2530.6250000000,38141.7500000000
2014-02-28,18814.5416666667,13134.2500000000,2442.2916666667,39467.2500000000
2014-03-01,16056.2916666667,11642.0833333333,1948.2916666667,34926.5000000000
2014-03-02,15661.4166666667,11684.7916666667,2037.5833333333,31889.3750000000
2014-03-03,18866.0000000000,13068.5000000000,2507.5416666667,38191.8333333333
2014-03-04,19282.5416666667,12749.3750000000,2453.0833333333,39281.2500000000
2014-03-05,17876.7500000000,12675.4583333333,2338.6250000000,36052.0416666667
2014-03-06,17505.7500000000,12385.4166666667,2268.9166666667,36759.0000000000
2014-03-07,16305.5833333333,11803.7916666667,2069.9166666667,35117.8750000000
2014-03-08,14689.3333333333,10842.7500000000,1796.5833333333,29814.3333333333
2014-03-09,14122.1739130435,10427.9130434783,1780.2173913043,28301.1739130435
2014-03-10,15366.3333333333,10938.2916666667,2008.1250000000,31354.5000000000
2014-03-11,14400.3913043478,11103.2083333333,1894.8333333333,29755.8750000000
2014-03-12,15399.3750000000,11730.9583333333,2096.0833333333,29814.6250000000
2014-03-13,17651.0000000000,12207.3750000000,2291.6666666667,35951.0416666667
2014-03-14,15896.5833333333,11298.4583333333,2033.7500000000,34474.7083333333
2014-03-15,13281.7500000000,10331.6666666667,1687.9583333333,27760.2500000000
2014-03-16,14968.1250000000,10697.0833333333,1925.9166666667,29125.9583333333
2014-03-17,17358.8750000000,11858.8333333333,2218.0000000000,35341.0000000000
2014-03-18,16184.0416666667,11429.9583333333,2041.5000000000,33667.0000000000
2014-03-19,15272.4583333333,11388.1666666667,2027.2916666667,33134.4583333333
2014-03-20,15229.3333333333,11188.7916666667,2056.5000000000,30632.2500000000
2014-03-21,14789.9583333333,10890.9583333333,1894.2500000000,30312.6666666667
2014-03-22,13150.0416666667,10055.8750000000,1679.8333333333,27474.0000000000
2014-03-23,14014.0000000000,10101.1250000000,1797.6666666667,28130.3333333333
2014-03-24,16641.4166666667,11460.1250000000,2152.5000000000,33915.2500000000
2014-03-25,17057.5000000000,11721.0833333333,2191.4583333333,35147.3750000000
2014-03-26,17274.6250000000,11695.9166666667,2196.2500000000,34931.7500000000
2014-03-27,16575.3333333333,11497.6666666667,2110.7083333333,34167.7916666667
2014-03-28,14328.8333333333,11019.5833333333,1867.9583333333,30905.7916666667
2014-03-29,13922.0416666667,10282.7500000000,1848.0833333333,27543.0000000000
2014-03-30,14285.9583333333,9551.2916666667,1735.7500000000,28540.3333333333
2014-03-31,14920.9166666667,10431.4583333333,1894.7500000000,30587.7083333333
2014-04-01,13949.0416666667,10709.6666666667,1804.0000000000,29327.3750000000
2014-04-02,13601.7500000000,10809.4166666667,1823.2500000000,29227.1250000000
2014-04-03,14150.6250000000,11315.8333333333,1896.0416666667,28074.1666666667
2014-04-04,13778.0416666667,11169.1250000000,1860.2083333333,29204.9166666667
2014-04-05,13000.5000000000,9814.9583333333,1718.7916666667,26582.0833333333
2014-04-06,12852.3333333333,9097.6666666667,1619.3750000000,26224.4166666667
2014-04-07,14155.3750000000,10457.0416666667,1913.5416666667,30225.6250000000
2014-04-08,13902.1666666667,10456.0416666667,1878.7916666667,28471.1250000000
2014-04-09,13878.0416666667,10395.8750000000,1848.7083333333,28149.0000000000
2014-04-10,13830.3333333333,10276.8333333333,1839.2916666667,27977.0000000000
2014-04-11,13106.2500000000,10136.2500000000,1743.0000000000,27190.0833333333
2014-04-12,12108.4166666667,9282.0833333333,1536.9583333333,24386.1666666667
2014-04-13,11769.0833333333,8774.9583333333,1469.5000000000,24058.3750000000
2014-04-14,13360.1666666667,10482.2083333333,1778.6666666667,27603.1666666667
2014-04-15,14841.2500000000,11053.2083333333,2021.6666666667,28217.5000000000
2014-04-16,15626.4166666667,10887.8750000000,2041.4583333333,29706.9166666667
2014-04-17,14415.7083333333,10434.5000000000,1884.6666666667,29305.2916666667
2014-04-18,12861.2500000000,9542.2916666667,1579.0833333333,27539.8750000000
2014-04-19,11822.1666666667,9040.7083333333,1440.4166666667,24853.3750000000
2014-04-20,11402.7083333333,8357.1250000000,1407.5000000000,23362.1666666667
2014-04-21,13214.8750000000,10022.2500000000,1743.1250000000,26983.3750000000
2014-04-22,13259.1666666667,9971.2916666667,1767.2083333333,27076.0416666667
2014-04-23,13368.0416666667,10281.2083333333,1792.0833333333,27303.0833333333
2014-04-24,13680.2083333333,10353.4583333333,1801.5416666667,27733.6666666667
2014-04-25,13520.7916666667,10046.3750000000,1763.1250000000,27190.6666666667
2014-04-26,12268.8333333333,8959.2083333333,1537.0416666667,24381.7500000000
2014-04-27,11806.7500000000,8766.3333333333,1442.3750000000,23516.9583333333
2014-04-28,13380.5000000000,10217.0000000000,1793.1666666667,26657.8750000000
2014-04-29,13685.6250000000,10163.5000000000,1825.2916666667,28480.0833333333
2014-04-30,13562.5000000000,10160.2083333333,1782.1666666667,30001.4166666667
2014-05-01,13259.8333333333,10449.1250000000,1775.5416666667,28159.0416666667
2014-05-02,13195.7083333333,10226.2500000000,1774.6666666667,26712.7083333333
2014-05-03,11987.6666666667,9003.6666666667,1516.7500000000,24384.8750000000
2014-05-04,11520.6666666667,8362.7500000000,1435.4583333333,23856.3333333333
2014-05-05,13220.3750000000,9910.0416666667,1758.3333333333,26439.4583333333
2014-05-06,13450.5000000000,10080.7083333333,1775.2500000000,26932.2916666667
2014-05-07,13781.0000000000,10136.2916666667,1845.2500000000,26908.0000000000
2014-05-08,14517.6250000000,11156.7916666667,1983.0416666667,27615.9166666667
2014-05-09,13991.4583333333,11174.5000000000,1874.8750000000,27508.0416666667
2014-05-10,12078.6666666667,9263.2083333333,1582.0416666667,25829.7083333333
2014-05-11,11964.2500000000,9235.3333333333,1540.2500000000,24949.9583333333
2014-05-12,14771.1250000000,11885.3333333333,2036.5000000000,29988.1666666667
2014-05-13,15600.7916666667,11047.5000000000,2172.0416666667,30704.2083333333
2014-05-14,14680.3333333333,10044.9583333333,1905.4583333333,28007.2916666667
2014-05-15,13775.4583333333,10278.0000000000,1779.8750000000,29673.4166666667
2014-05-16,13184.9166666667,10406.7916666667,1765.9166666667,28796.1250000000
2014-05-17,12247.8750000000,9228.1250000000,1562.1666666667,24255.2083333333
2014-05-18,11844.8333333333,8672.5416666667,1484.7916666667,23402.5416666667
2014-05-19,13401.8750000000,10139.7083333333,1787.3333333333,26791.0833333333
2014-05-20,13673.0833333333,11525.5416666667,1858.4583333333,27625.2500000000
2014-05-21,14379.6250000000,12710.2500000000,1981.5416666667,28290.6666666667
2014-05-22,14368.7083333333,11145.7083333333,1960.0416666667,29465.8750000000
2014-05-23,13308.5833333333,10313.2916666667,1772.2916666667,27836.3333333333
2014-05-24,11879.1666666667,9076.7500000000,1519.4166666667,24625.1250000000
2014-05-25,11902.2083333333,9076.7500000000,1538.4166666667,24538.0833333333
2014-05-26,12985.3750000000,10561.7500000000,1673.5416666667,27265.7916666667
2014-05-27,15626.7500000000,12876.7916666667,2205.9166666667,32920.0833333333
2014-05-28,15634.6250000000,11369.0416666667,2235.7083333333,30797.9583333333
2014-05-29,15001.3333333333,11101.0000000000,2172.6250000000,27250.1250000000
2014-05-30,14637.7500000000,11303.0416666667,2062.7083333333,27449.0833333333
